"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
43,"0% : 100%",3,"",120.0,"",120.0,120.0,"",219.0,219.0,"",0.35366631783563907,0.35366631783563907,"gpba"
44,"100% : 0%",4,120.0,"",103.18076399999998,"",103.18076399999998,32.0,"",32.0,0.419039870445994,"",0.419039870445994,"gpba"
45,"90% : 10%",4,108.0,12.0,99.273458,12.0,111.273458,32.0,224.0,256.0,0.419039870445994,0.419487118892069,0.419487118892069,"gpba"
46,"80% : 20%",4,96.0,24.0,96.0,24.0,120.0,31.0,295.0,326.0,0.4190385450667152,0.4194968467136546,0.4194968467136546,"gpba"
47,"70% : 30%",4,84.0,36.0,84.0,36.0,120.0,24.0,308.0,332.0,0.41899195210458473,0.41949534273753974,0.41949534273753974,"gpba"
48,"60% : 40%",4,72.0,48.0,72.0,34.0,106.0,22.0,283.0,305.0,0.41871318635824545,0.41948191517743216,0.41948191517743216,"gpba"
49,"50% : 50%",4,60.0,60.0,60.0,33.0,93.0,19.0,287.0,306.0,0.41850537200624677,0.41947733438943324,0.41947733438943324,"gpba"
50,"40% : 60%",4,48.0,72.0,48.0,40.0,88.0,16.0,287.0,303.0,0.4138400457406386,0.4192731033980397,0.4192731033980397,"gpba"
51,"30% : 70%",4,36.0,84.0,36.0,40.0,76.0,14.0,289.0,303.0,0.4137815236884729,0.4192731033980397,0.4192731033980397,"gpba"
52,"20% : 80%",4,24.0,96.0,24.0,42.0,66.0,10.0,293.0,303.0,0.41342175943819226,0.41927053280516813,0.41927053280516813,"gpba"
53,"10% : 90%",4,12.0,108.0,12.0,42.0,54.0,5.0,304.0,309.0,0.4104958546691765,0.4191381615624614,0.4191381615624614,"gpba"
54,"0% : 100%",4,"",120.0,"",120.0,120.0,"",222.0,222.0,"",0.35288328392115087,0.35288328392115087,"gpba"
55,"100% : 0%",5,120.0,"",103.228775,"",103.228775,32.0,"",32.0,0.419039870445994,"",0.419039870445994,"gpba"
56,"90% : 10%",5,108.0,12.0,99.315558,12.0,111.315558,32.0,224.0,256.0,0.419039870445994,0.419487118892069,0.419487118892069,"gpba"
57,"80% : 20%",5,96.0,24.0,96.0,24.0,120.0,31.0,295.0,326.0,0.4190385450667152,0.4194968467136546,0.4194968467136546,"gpba"
58,"70% : 30%",5,84.0,36.0,84.0,33.0,117.0,25.0,287.0,312.0,0.41900668144603626,0.419493921258992,0.419493921258992,"gpba"
59,"60% : 40%",5,72.0,48.0,72.0,34.0,106.0,22.0,283.0,305.0,0.41871318635824545,0.41948191517743216,0.41948191517743216,"gpba"
60,"50% : 50%",5,60.0,60.0,60.0,33.0,93.0,19.0,287.0,306.0,0.41850537200624677,0.41947733438943324,0.41947733438943324,"gpba"
61,"40% : 60%",5,48.0,72.0,48.0,40.0,88.0,16.0,287.0,303.0,0.4138400457406386,0.4192731033980397,0.4192731033980397,"gpba"
62,"30% : 70%",5,36.0,84.0,36.0,40.0,76.0,14.0,289.0,303.0,0.4137815236884729,0.4192731033980397,0.4192731033980397,"gpba"
63,"20% : 80%",5,24.0,96.0,24.0,42.0,66.0,10.0,293.0,303.0,0.41342175943819226,0.41927053280516813,0.41927053280516813,"gpba"
