"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
47,"70% : 30%",4,84.0,36.0,84.0,36.0,120.0,35.0,713.0,748.0,0.4034315951519729,0.40534582363551735,0.40534582363551735,"gpba"
48,"60% : 40%",4,72.0,48.0,72.0,48.0,120.0,30.0,744.0,774.0,0.40327419811703097,0.4053314099414099,0.4053314099414099,"gpba"
49,"50% : 50%",4,60.0,60.0,60.0,51.0,111.0,26.0,736.0,762.0,0.4028420423698008,0.40533948050532737,0.40533948050532737,"gpba"
50,"40% : 60%",4,48.0,72.0,48.0,52.0,100.0,21.0,735.0,756.0,0.4021031770061521,0.405336728242533,0.405336728242533,"gpba"
51,"30% : 70%",4,36.0,84.0,36.0,57.0,93.0,18.0,764.0,782.0,0.3992252567183541,0.4053380253199832,0.4053380253199832,"gpba"
52,"20% : 80%",4,24.0,96.0,24.0,59.0,83.0,14.0,741.0,755.0,0.3979982976361294,0.40533960954135595,0.40533960954135595,"gpba"
53,"10% : 90%",4,12.0,108.0,12.0,66.0,78.0,8.0,757.0,765.0,0.37239816051410835,0.40533153190797644,0.40533153190797644,"gpba"
54,"0% : 100%",4,"",120.0,"",120.0,120.0,"",323.0,323.0,"",0.401255335509043,0.401255335509043,"gpba"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,44.0,"",44.0,0.4035011985781028,"",0.4035011985781028,"gpba"
56,"90% : 10%",5,108.0,12.0,108.0,12.0,120.0,43.0,470.0,513.0,0.4035006156931051,0.40533228954307005,0.40533228954307005,"gpba"
57,"80% : 20%",5,96.0,24.0,96.0,24.0,120.0,38.0,646.0,684.0,0.4034843566032093,0.40534660467829536,0.40534660467829536,"gpba"
58,"70% : 30%",5,84.0,36.0,84.0,36.0,120.0,35.0,713.0,748.0,0.4034315951519729,0.40534582363551735,0.40534582363551735,"gpba"
59,"60% : 40%",5,72.0,48.0,72.0,48.0,120.0,30.0,744.0,774.0,0.40327419811703097,0.4053314099414099,0.4053314099414099,"gpba"
60,"50% : 50%",5,60.0,60.0,60.032999999999994,51.0,111.03299999999999,26.0,736.0,762.0,0.4028420423698008,0.40533948050532737,0.40533948050532737,"gpba"
61,"40% : 60%",5,48.0,72.0,48.0,52.0,100.0,21.0,735.0,756.0,0.4021031770061521,0.405336728242533,0.405336728242533,"gpba"
62,"30% : 70%",5,36.0,84.0,36.0,57.0,93.0,18.0,764.0,782.0,0.3992252567183541,0.4053380253199832,0.4053380253199832,"gpba"
63,"20% : 80%",5,24.0,96.0,24.0,59.0,83.0,14.0,741.0,755.0,0.3979982976361294,0.40533960954135595,0.40533960954135595,"gpba"
