"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
18,"30% : 70%",1,36.0,84.0,10.765657000000004,5.0,15.765657000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
19,"20% : 80%",1,24.0,96.0,11.076995,5.0,16.076995,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
20,"10% : 90%",1,12.0,108.0,10.546587999999998,5.0,15.546587999999998,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
21,"0% : 100%",1,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"gpba"
22,"100% : 0%",2,120.0,"",10.560826999999996,"",10.560826999999996,36.0,"",36.0,0.7657933726952031,"",0.7657933726952031,"gpba"
23,"90% : 10%",2,108.0,12.0,10.830236000000001,5.0,15.830236000000001,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
24,"80% : 20%",2,96.0,24.0,10.803392000000004,5.0,15.803392000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
25,"70% : 30%",2,84.0,36.0,10.551678000000004,5.0,15.551678000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
26,"60% : 40%",2,72.0,48.0,10.648480999999997,5.0,15.648480999999997,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
27,"50% : 50%",2,60.0,60.0,10.658234000000004,5.0,15.658234000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
28,"40% : 60%",2,48.0,72.0,10.880677000000004,5.0,15.880677000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
29,"30% : 70%",2,36.0,84.0,10.909539999999996,5.0,15.909539999999996,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
